Campanha_ID,Loja_ID,Nome,Canal,Investimento,Vendas Geradas,Data de Início,Data de Fim
1,305,Direta Promoção Ecológica,Email Marketing,692.42,63,2024-10-26 12:42:16,2025-02-04 00:40:11
2,42,Viral Campanha Inovação,Influenciadores,380.05,20,2016-05-08 01:42:49,2017-01-27 21:48:33
3,857,Direta Campanha Desportiva,Email Marketing,751.13,0,2015-04-30 10:11:34,2015-08-26 22:39:41
4,788,Direta Impacto Sustentável,Email Marketing,413.58,81,2019-03-12 03:04:00,2019-08-16 12:18:50
5,757,Direta Promoção Fitness,Email Marketing,407.87,89,2015-08-07 06:25:03,2016-01-31 08:03:30
6,175,Alvo Impacto Rural,Google Ads,275.97,0,2017-06-25 08:02:46,2017-10-28 18:28:55
7,930,Viral Impacto Vintage,Influenciadores,601.48,222,2020-12-17 11:00:23,2021-08-30 21:03:35
8,426,Direta Promoção Ecológica,Email Marketing,312.04,0,2015-10-30 15:28:34,2016-08-24 16:12:08
9,980,Conectada Impacto Cultural,Redes Sociais,367.09,4,2021-03-20 11:45:21,2022-01-15 14:43:10
10,233,Direta Campanha Digital,Email Marketing,585.75,72,2024-05-09 18:01:11,2025-03-05 16:40:56
11,872,Alvo Impacto Nacional,Google Ads,201.94,27,2016-03-23 13:18:04,2016-10-06 01:04:26
12,97,Conectada Impacto Desportiva,Redes Sociais,252.35,0,2023-11-18 12:44:10,2024-09-17 05:48:17
13,340,Direta Promoção Artística,Email Marketing,221.66,0,2024-12-10 22:10:08,2025-06-30 19:22:37
14,921,Direta Campanha Gourmet,Email Marketing,683.75,0,2020-03-25 23:11:25,2020-04-30 01:47:30
15,622,Direta Campanha Nacional,Email Marketing,690.97,6,2019-08-26 15:11:59,2020-04-27 04:12:49
16,440,Conectada Promoção De Luxo,Redes Sociais,674.32,172,2021-11-28 22:04:52,2022-10-23 11:26:28
17,606,Alvo Promoção Retro,Google Ads,710.02,74,2016-04-15 13:14:49,2016-12-31 17:43:20
18,17,Direta Impacto Cultural,Email Marketing,399.04,99,2022-06-16 15:04:37,2023-06-10 12:54:49
19,513,Direta Promoção Artística,Email Marketing,229.43,0,2020-06-27 07:00:04,2020-10-15 09:35:06
20,7,Conectada Campanha Artística,Redes Sociais,444.82,0,2014-04-12 09:20:58,2014-09-08 18:32:27
21,163,Alvo Impacto Familiar,Google Ads,208.93,34,2017-01-04 22:33:16,2017-05-13 07:12:26
22,509,Alvo Campanha Global,Google Ads,950.66,57,2016-08-09 16:26:19,2016-11-12 22:11:43
23,564,Conectada Impacto Retro,Redes Sociais,829.56,32,2016-04-26 14:22:57,2016-11-01 08:15:06
24,611,Viral Promoção Online,Influenciadores,479.41,18,2023-09-11 21:15:46,2024-07-29 03:16:25
25,516,Viral Promoção Tradicional,Influenciadores,494.1,7,2019-07-10 02:16:31,2019-12-21 23:24:23
26,901,Alvo Impacto Familiar,Google Ads,336.88,0,2023-04-19 01:06:11,2023-08-14 09:33:16
27,24,Direta Promoção Tecnológica,Email Marketing,573.99,47,2018-02-19 08:12:26,2018-08-17 16:52:41
28,879,Clássica Promoção Cultural,TV,383.5,71,2023-09-18 07:39:48,2024-05-23 19:26:36
29,752,Clássica Impacto Urbana,TV,918.45,0,2022-09-19 15:46:06,2022-11-02 07:41:02
30,342,Viral Campanha Local,Influenciadores,541.1,102,2024-07-17 18:23:33,2024-11-13 13:49:53
31,358,Viral Campanha Rural,Influenciadores,269.34,0,2021-12-02 16:29:06,2022-02-25 03:40:13
32,813,Conectada Campanha Familiar,Redes Sociais,520.65,0,2020-12-01 07:07:10,2021-11-20 00:23:35
33,232,Alvo Promoção Vintage,Google Ads,493.51,0,2015-09-21 15:51:14,2015-12-05 17:27:57
34,700,Direta Impacto Clássica,Email Marketing,827.45,91,2022-06-07 16:32:02,2023-02-03 00:52:57
35,871,Alvo Campanha Digital,Google Ads,522.66,0,2016-10-02 23:10:04,2017-09-05 17:07:36
