Venda_ID,Loja_ID,Produto_ID,Cliente_ID,Colaborador_ID,Quantidade,Preço Unitário,Data da Venda,Canal de Venda
1,991,315,394,276,96,32.18,2017-10-31 14:03:03,Online
2,614,342,579,139,6,388.4,2019-07-11 06:23:09,Online
3,87,702,347,182,87,827.71,2017-07-22 05:12:08,Física
4,958,152,946,418,49,940.3,2021-09-18 13:32:12,Online
5,836,157,699,12,3,198.2,2015-08-11 17:07:04,Física
6,220,321,728,87,44,882.71,2019-11-10 07:05:08,Física
7,107,674,634,433,13,513.57,2015-02-26 21:50:11,Física
8,139,308,487,357,82,183.72,2015-06-30 19:48:08,Física
9,899,164,194,77,70,964.55,2019-06-09 20:24:26,Online
10,508,746,262,215,15,610.7,2016-09-19 21:12:52,Online
11,453,665,841,153,49,851.75,2018-09-13 22:40:51,Online
12,558,490,861,153,43,249.74,2019-12-24 22:40:51,Física
13,312,175,950,30,2,516.91,2019-04-13 16:58:01,Online
14,494,61,69,314,87,856.61,2020-05-08 20:59:28,Física
15,661,955,99,257,21,458.76,2020-06-18 04:23:21,Online
16,190,760,6,325,86,209.2,2016-02-17 06:13:10,Física
17,345,494,491,363,87,821.61,2015-06-10 05:32:03,Física
18,18,231,223,86,41,14.38,2019-02-06 11:18:48,Online
19,442,816,591,88,11,693.78,2018-03-01 16:14:52,Online
20,379,203,629,324,40,725.05,2019-02-28 17:59:06,Online
21,188,715,496,307,40,599.97,2019-12-18 17:51:04,Online
22,244,963,262,73,93,144.2,2020-12-04 04:41:00,Física
23,896,943,640,264,53,694.44,2020-07-05 16:52:38,Online
24,980,917,846,297,97,215.5,2019-03-26 06:31:22,Online
25,152,369,724,127,40,424.02,2020-09-02 03:54:29,Online
26,941,346,24,20,31,319.18,2017-11-09 04:25:27,Física
27,646,569,899,388,78,978.49,2021-10-12 02:30:36,Física
28,118,87,114,366,28,547.34,2021-02-01 20:52:18,Online
29,579,704,485,494,80,790.29,2016-07-18 07:35:10,Física
30,579,983,164,463,52,428.6,2019-01-30 00:14:14,Física
31,323,637,386,169,12,574.13,2018-04-27 07:32:17,Física
32,719,224,736,307,64,636.21,2014-11-04 21:09:07,Online
33,843,906,390,39,60,33.76,2019-03-19 23:52:10,Online
34,663,994,738,84,26,351.22,2015-05-26 11:20:22,Online
35,22,165,335,184,59,223.2,2020-12-17 21:09:20,Física
36,174,442,60,103,4,70.97,2019-10-04 13:31:43,Online
37,769,808,791,194,57,715.38,2020-03-17 20:59:11,Física
38,599,231,355,498,50,745.66,2018-03-24 12:06:25,Online
39,265,622,932,416,98,343.53,2017-07-21 06:15:37,Física
40,22,176,882,246,38,926.33,2015-10-25 06:58:06,Online
41,41,399,686,273,71,343.03,2016-03-25 06:32:43,Física
42,996,210,624,153,50,395.98,2020-12-23 19:49:13,Online
43,573,253,853,432,57,723.45,2017-07-27 17:10:51,Física
44,775,441,741,17,95,472.38,2015-04-11 05:01:21,Online
45,95,442,410,23,41,782.43,2019-11-11 17:29:46,Física
46,581,144,351,179,70,769.4,2018-01-02 03:43:46,Física
47,439,805,860,120,4,997.09,2021-07-05 17:55:20,Online
48,548,724,129,431,80,595.09,2015-05-09 04:07:45,Física
49,382,358,285,233,40,419.61,2016-03-18 03:22:31,Física
50,51,127,419,219,2,106.48,2015-02-02 16:56:49,Online
51,777,924,340,252,42,840.47,2014-07-03 01:46:20,Online
52,112,879,218,149,26,879.56,2021-10-20 02:36:22,Física
53,442,999,682,405,32,620.94,2019-12-28 23:54:27,Física
54,101,865,412,334,93,487.76,2021-08-06 19:24:48,Física
55,868,828,905,13,38,710.21,2014-12-27 22:54:44,Online
56,692,345,946,349,44,329.98,2021-08-26 22:28:43,Física
57,954,568,103,386,14,436.61,2019-05-20 07:49:20,Física
58,400,94,290,494,80,9.02,2017-04-14 10:39:03,Online
59,761,648,699,290,25,754.39,2016-11-24 16:21:48,Online
60,135,185,688,375,39,601.75,2018-02-21 05:20:13,Física
61,516,339,502,177,16,487.71,2016-12-10 14:05:47,Física
62,141,291,395,499,61,327.25,2018-03-27 03:45:58,Online
63,447,366,946,485,34,51.72,2015-07-19 12:42:35,Online
64,954,169,299,490,36,467.55,2016-05-14 05:01:59,Online
65,558,913,11,490,24,870.0,2020-06-28 02:20:39,Física
66,949,443,366,41,10,769.76,2019-09-29 11:39:11,Online
67,737,104,832,15,20,440.32,2016-06-19 12:43:19,Física
68,539,871,202,285,4,484.55,2014-08-21 04:51:52,Física
69,927,129,924,153,17,407.82,2019-07-21 21:19:00,Física
70,248,656,890,188,59,786.07,2020-07-27 11:17:51,Física
71,74,647,523,380,86,298.6,2018-12-14 21:54:36,Física
72,338,425,745,51,60,643.69,2020-03-23 15:07:27,Física
73,683,191,84,254,39,275.06,2015-12-01 10:02:44,Online
74,88,686,704,298,10,372.15,2014-09-16 11:06:20,Física
75,912,82,558,376,17,874.24,2015-03-13 15:14:51,Física
76,368,949,142,494,66,178.32,2016-06-30 05:54:19,Física
77,377,371,868,147,51,418.54,2019-07-29 12:35:45,Online
78,725,384,650,117,45,429.11,2015-08-24 07:46:09,Online
79,998,771,705,460,11,733.38,2021-11-03 15:33:45,Física
80,7,609,357,117,98,976.58,2021-01-13 19:21:46,Física
81,764,615,640,470,40,88.8,2017-03-19 21:57:45,Física
82,720,464,640,97,47,654.77,2020-08-04 13:57:50,Física
83,491,127,849,284,39,812.0,2014-07-05 01:57:25,Física
84,603,785,879,417,78,826.67,2017-11-05 11:40:34,Física
85,757,935,339,444,49,509.97,2021-12-20 10:08:15,Online
86,159,908,909,300,26,623.91,2019-07-28 19:53:48,Online
87,295,657,890,143,66,912.1,2017-06-18 15:23:36,Física
88,790,556,529,298,98,244.26,2015-05-16 00:47:02,Online
89,479,747,438,260,62,948.12,2014-06-26 14:41:24,Física
90,169,900,928,490,76,238.6,2020-07-13 03:24:39,Física
91,913,579,130,78,86,103.1,2021-08-14 01:22:53,Física
92,741,58,419,55,39,734.45,2018-11-25 22:12:01,Online
93,334,869,724,76,86,779.54,2017-05-17 20:57:07,Física
94,162,736,669,198,24,869.74,2020-12-06 08:29:30,Online
95,311,829,488,2,71,926.57,2018-03-14 19:02:30,Física
96,533,239,219,34,43,330.92,2018-07-27 08:03:27,Online
97,492,148,190,472,29,46.62,2021-04-09 04:12:43,Física
98,965,737,321,324,59,405.75,2017-03-13 23:04:21,Física
99,920,478,210,23,13,560.76,2020-05-21 22:34:41,Física
100,151,208,432,173,86,370.7,2019-03-27 19:52:11,Online
101,800,319,328,497,56,929.1,2017-03-05 03:42:00,Online
102,115,731,691,375,95,979.18,2017-06-15 00:10:29,Online
103,899,783,268,17,5,128.62,2014-08-21 17:06:14,Física
104,483,503,463,180,28,145.99,2018-11-06 05:55:32,Física
105,287,331,840,239,8,724.89,2021-07-21 20:22:18,Física
106,590,879,396,415,10,634.24,2015-05-26 10:42:50,Física
107,32,615,460,114,66,236.83,2018-01-09 02:16:41,Física
108,13,31,807,362,96,268.16,2020-11-23 12:21:30,Online
109,347,619,717,10,42,241.21,2015-08-12 14:48:38,Física
110,618,883,738,477,77,161.44,2015-08-01 17:55:48,Online
111,874,643,383,166,70,887.17,2015-08-14 20:17:13,Online
112,965,992,20,423,27,915.25,2019-11-10 16:18:45,Física
113,257,29,205,349,57,566.43,2016-03-25 22:34:50,Online
114,555,96,213,2,18,7.7,2018-04-05 19:40:06,Online
