Venda_ID,Loja_ID,Produto_ID,Cliente_ID,Colaborador_ID,Quantidade,Preço Unitário,Data da Venda,Canal de Venda
1,135,747,631,38,48,286.66,2017-07-07 17:59:59,Física
2,474,927,654,338,91,548.01,2017-12-04 09:37:18,Online
3,787,582,881,3,45,417.26,2020-05-10 23:29:34,Online
4,240,717,953,388,25,282.04,2014-02-13 07:35:35,Física
5,216,397,873,339,23,522.88,2018-08-03 19:09:20,Online
6,386,300,402,410,24,674.26,2020-08-19 09:02:36,Física
7,950,534,721,351,10,412.8,2021-12-03 23:19:06,Online
8,372,36,49,33,17,805.52,2022-10-18 19:01:16,Física
9,124,623,775,356,39,512.61,2015-08-05 21:56:34,Online
10,162,716,123,45,99,828.42,2018-10-10 15:28:17,Online
11,824,940,302,69,51,588.93,2016-11-04 12:11:46,Física
12,766,291,964,249,24,337.86,2024-05-08 10:39:21,Física
13,712,796,563,308,50,320.12,2024-04-13 12:07:52,Online
14,715,503,250,254,43,30.06,2024-03-04 03:49:51,Física
15,846,96,901,187,87,200.14,2020-07-13 16:31:59,Online
16,27,414,389,189,91,317.71,2015-08-21 05:06:09,Física
17,278,525,109,291,62,525.84,2017-04-09 05:28:57,Online
18,498,733,512,361,4,862.68,2019-06-29 18:59:46,Física
19,235,813,963,198,39,810.24,2014-12-16 08:37:28,Online
20,933,421,709,432,9,560.76,2018-05-26 22:24:30,Online
21,266,101,763,366,28,18.39,2019-04-08 03:41:57,Física
22,657,653,802,450,99,352.38,2016-03-19 02:24:59,Online
23,276,718,570,481,36,665.73,2022-01-07 12:48:46,Física
24,78,22,961,60,98,607.98,2021-01-28 20:15:06,Online
25,943,465,905,278,36,586.89,2021-06-07 23:36:07,Online
26,519,615,73,229,20,304.7,2015-10-30 09:25:54,Online
27,698,483,348,240,40,612.01,2015-04-05 07:14:40,Física
28,673,980,754,186,87,104.64,2020-07-30 22:41:00,Física
29,43,19,908,384,95,529.83,2021-10-09 23:10:54,Online
30,551,789,65,80,18,411.21,2016-08-28 10:55:58,Online
31,207,96,941,45,52,895.08,2014-06-04 21:47:00,Online
32,928,437,283,292,95,842.88,2022-09-13 18:46:54,Física
33,13,887,659,345,14,813.3,2016-05-07 08:21:59,Online
34,793,526,505,80,80,453.69,2022-01-06 23:43:37,Online
35,880,441,454,113,15,216.74,2020-04-26 07:28:42,Online
36,592,434,112,31,40,13.69,2018-07-23 11:30:52,Online
37,106,643,87,38,11,914.8,2014-07-02 15:19:04,Online
38,877,255,217,63,6,722.46,2020-05-01 14:26:58,Física
39,982,166,766,33,92,975.51,2022-08-25 01:37:30,Online
40,160,102,388,280,88,118.6,2017-11-14 00:05:43,Física
41,31,242,235,488,68,537.91,2022-06-08 22:18:11,Física
42,482,683,792,332,69,674.9,2018-05-19 09:04:13,Física
43,615,132,886,8,49,593.87,2020-12-22 03:20:53,Online
44,414,345,870,405,18,424.33,2015-04-29 05:27:01,Online
45,250,507,239,371,94,351.27,2024-08-30 06:23:15,Online
46,430,530,449,465,74,726.65,2022-03-23 06:29:47,Online
47,233,174,73,242,11,275.91,2020-09-22 17:34:40,Online
48,971,552,24,258,81,771.25,2017-01-07 21:15:34,Física
49,814,303,729,439,11,810.51,2016-06-14 10:08:53,Física
50,64,203,749,237,44,595.45,2015-09-08 21:33:22,Online
51,648,85,372,190,71,853.48,2019-01-21 18:32:38,Online
52,700,339,637,359,39,417.63,2020-10-16 03:12:14,Física
53,472,115,755,248,47,454.15,2014-04-12 03:36:09,Física
54,846,134,56,91,95,707.8,2020-09-26 01:30:08,Online
55,178,579,362,446,21,633.51,2021-03-04 07:49:41,Online
